Time: 1781214122 | Branch: 0 | Thread: 0 | Acc: 1003 | WITHDRAW | Amount: 24 | New Balance: 8726
Time: 1781214122 | Branch: 0 | Thread: 0 | Acc: 1002 | DEPOSIT | Amount: 350 | New Balance: 3550
Time: 1781214122 | Branch: 0 | Thread: 1 | Acc: 1003 | WITHDRAW | Amount: 276 | New Balance: 8450
Time: 1781214122 | Branch: 1 | Thread: 0 | Acc: 1003 | DEPOSIT | Amount: 83 | New Balance: 8833
Time: 1781214122 | Branch: 1 | Thread: 1 | Acc: 1003 | DEPOSIT | Amount: 483 | New Balance: 9316
Time: 1781214122 | Branch: 2 | Thread: 2 | Acc: 1002 | WITHDRAW | Amount: 257 | New Balance: 2943
Time: 1781214122 | Branch: 0 | Thread: 3 | Acc: 1005 | WITHDRAW | Amount: 72 | New Balance: 10040
Time: 1781214122 | Branch: 0 | Thread: 2 | Acc: 1001 | WITHDRAW | Amount: 343 | New Balance: 4657
Time: 1781214122 | Branch: 0 | Thread: 4 | Acc: 1005 | DEPOSIT | Amount: 113 | New Balance: 10112
Time: 1781214122 | Branch: 2 | Thread: 3 | Acc: 1003 | WITHDRAW | Amount: 486 | New Balance: 8264
Time: 1781214122 | Branch: 0 | Thread: 0 | Acc: 1002 | DEPOSIT | Amount: 300 | New Balance: 3850
Time: 1781214122 | Branch: 2 | Thread: 0 | Acc: 1002 | WITHDRAW | Amount: 290 | New Balance: 2653
Time: 1781214122 | Branch: 1 | Thread: 2 | Acc: 1002 | DEPOSIT | Amount: 50 | New Balance: 3250
Time: 1781214122 | Branch: 1 | Thread: 4 | Acc: 1004 | WITHDRAW | Amount: 320 | New Balance: 1180
Time: 1781214122 | Branch: 2 | Thread: 4 | Acc: 1004 | DEPOSIT | Amount: 27 | New Balance: 1527
Time: 1781214122 | Branch: 1 | Thread: 3 | Acc: 1004 | DEPOSIT | Amount: 279 | New Balance: 1459
Time: 1781214122 | Branch: 2 | Thread: 1 | Acc: 1005 | WITHDRAW | Amount: 190 | New Balance: 9809
Time: 1781214122 | Branch: 0 | Thread: 1 | Acc: 1004 | WITHDRAW | Amount: 320 | New Balance: 1180
Time: 1781214122 | Branch: 1 | Thread: 0 | Acc: 1001 | WITHDRAW | Amount: 225 | New Balance: 4775
Time: 1781214122 | Branch: 1 | Thread: 1 | Acc: 1005 | DEPOSIT | Amount: 147 | New Balance: 10146
Time: 1781214122 | Branch: 2 | Thread: 2 | Acc: 1004 | WITHDRAW | Amount: 8 | New Balance: 1519
Time: 1781214122 | Branch: 2 | Thread: 3 | Acc: 1003 | DEPOSIT | Amount: 54 | New Balance: 8318
Time: 1781214122 | Branch: 0 | Thread: 3 | Acc: 1001 | DEPOSIT | Amount: 352 | New Balance: 5009
Time: 1781214122 | Branch: 0 | Thread: 2 | Acc: 1002 | WITHDRAW | Amount: 454 | New Balance: 3396
Time: 1781214122 | Branch: 0 | Thread: 0 | Acc: 1004 | DEPOSIT | Amount: 27 | New Balance: 1207
Time: 1781214122 | Branch: 2 | Thread: 0 | Acc: 1004 | DEPOSIT | Amount: 52 | New Balance: 1571
Time: 1781214122 | Branch: 0 | Thread: 4 | Acc: 1003 | WITHDRAW | Amount: 262 | New Balance: 8188
Time: 1781214122 | Branch: 1 | Thread: 2 | Acc: 1005 | DEPOSIT | Amount: 257 | New Balance: 10403
Time: 1781214122 | Branch: 2 | Thread: 4 | Acc: 1005 | WITHDRAW | Amount: 340 | New Balance: 9469
Time: 1781214122 | Branch: 1 | Thread: 4 | Acc: 1002 | DEPOSIT | Amount: 13 | New Balance: 3263
Time: 1781214122 | Branch: 1 | Thread: 3 | Acc: 1004 | WITHDRAW | Amount: 79 | New Balance: 1380
Time: 1781214122 | Branch: 2 | Thread: 1 | Acc: 1004 | WITHDRAW | Amount: 374 | New Balance: 1197
Time: 1781214122 | Branch: 0 | Thread: 1 | Acc: 1005 | WITHDRAW | Amount: 460 | New Balance: 9580
Time: 1781214122 | Branch: 1 | Thread: 0 | Acc: 1005 | WITHDRAW | Amount: 247 | New Balance: 10156
Time: 1781214122 | Branch: 1 | Thread: 1 | Acc: 1003 | DEPOSIT | Amount: 431 | New Balance: 9747
Time: 1781214122 | Branch: 2 | Thread: 2 | Acc: 1005 | WITHDRAW | Amount: 301 | New Balance: 9168
Time: 1781214122 | Branch: 2 | Thread: 3 | Acc: 1001 | WITHDRAW | Amount: 386 | New Balance: 4614
Time: 1781214122 | Branch: 0 | Thread: 3 | Acc: 1002 | WITHDRAW | Amount: 68 | New Balance: 3328
Time: 1781214122 | Branch: 2 | Thread: 0 | Acc: 1005 | DEPOSIT | Amount: 194 | New Balance: 9362
Time: 1781214122 | Branch: 1 | Thread: 2 | Acc: 1001 | DEPOSIT | Amount: 330 | New Balance: 5105
